ckpt,tau_beat,tau_downbeat,n,F,CMLt,n_db,dbF,dbCMLt
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.05,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.1,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.15,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.2,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.25,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.3,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.4,571,0.882955,0.813541,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.25,0.5,571,0.882503,0.812597,469,0.882607,0.823682
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.05,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.1,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.15,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.2,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.25,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.3,571,0.882880,0.813384,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.4,571,0.882955,0.813541,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.3,0.5,571,0.882503,0.812597,469,0.882607,0.823682
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.05,571,0.882908,0.813519,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.1,571,0.882908,0.813519,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.15,571,0.882908,0.813519,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.2,571,0.882908,0.813519,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.25,571,0.882908,0.813519,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.3,571,0.882908,0.813519,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.4,571,0.882983,0.813677,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.4,0.5,571,0.882530,0.812737,469,0.882607,0.823682
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.05,571,0.882346,0.813151,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.1,571,0.882346,0.813151,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.15,571,0.882346,0.813151,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.2,571,0.882346,0.813151,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.25,571,0.882346,0.813151,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.3,571,0.882346,0.813151,469,0.882133,0.823163
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.4,571,0.882422,0.813387,469,0.882216,0.823278
S_omega2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,0.5,571,0.881904,0.812030,469,0.882607,0.823682
