C_f0,4,ALL,571,0.642575,0.457371,0.518910
C_f0,4,SMC,27,0.457530,0.294464,0.328849
C_f0,4,<70 bpm,63,0.429275,0.144478,0.396234
C_f0,4,SMC <70,15,0.354890,0.199952,0.246468
C_f0,4,>=70 bpm,508,0.669028,0.496174,0.534124
arm,epoch,group,n,F,CMLt,AMLt
A_f0,4,ALL,571,0.651902,0.405700,0.491031
A_f0,4,SMC,27,0.427261,0.256233,0.304980
A_f0,4,<70 bpm,63,0.438115,0.102076,0.394358
A_f0,4,SMC <70,15,0.309986,0.153960,0.201810
A_f0,4,>=70 bpm,508,0.678414,0.443354,0.503019
B_f0,4,ALL,571,0.626592,0.414452,0.483198
B_f0,4,SMC,27,0.438081,0.239109,0.324181
B_f0,4,<70 bpm,63,0.456135,0.122911,0.391016
B_f0,4,SMC <70,15,0.353766,0.162685,0.242812
B_f0,4,>=70 bpm,508,0.647731,0.450607,0.494630
