ckpt,min_gap_frac_of_ibi,n,F,CMLt,n_db,dbF,dbCMLt
E_meter03 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.0,571,0.906093,0.838378,469,0.896772,0.820957
E_meter03 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,571,0.912185,0.852081,469,0.905634,0.837040
E_meter03 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.7,571,0.912807,0.855031,469,0.906532,0.839254
