ckpt,min_gap_frac_of_ibi,n,F,CMLt,n_db,dbF,dbCMLt
F_thawed S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.0,571,0.897383,0.819726,469,0.893968,0.822164
F_thawed S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,571,0.900231,0.826558,469,0.896783,0.828275
F_thawed S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.7,571,0.900641,0.828224,469,0.897072,0.828480
