C_f0,4,ALL,571,0.642575,0.457371,0.518910
C_f0,4,SMC,27,0.457530,0.294464,0.328849
C_f0,4,<70 bpm,63,0.429275,0.144478,0.396234
C_f0,4,SMC <70,15,0.354890,0.199952,0.246468
C_f0,4,>=70 bpm,508,0.669028,0.496174,0.534124
arm,epoch,group,n,F,CMLt,AMLt
A_f0,4,ALL,571,0.651902,0.405700,0.491031
A_f0,4,SMC,27,0.427261,0.256233,0.304980
A_f0,4,<70 bpm,63,0.438115,0.102076,0.394358
A_f0,4,SMC <70,15,0.309986,0.153960,0.201810
A_f0,4,>=70 bpm,508,0.678414,0.443354,0.503019
B_f0,4,ALL,571,0.626592,0.414452,0.483198
B_f0,4,SMC,27,0.438081,0.239109,0.324181
B_f0,4,<70 bpm,63,0.456135,0.122911,0.391016
B_f0,4,SMC <70,15,0.353766,0.162685,0.242812
B_f0,4,>=70 bpm,508,0.647731,0.450607,0.494630
C_f0,9,ALL,571,0.002526,0.000000,0.000000
C_f0,9,SMC,27,0.005380,0.000000,0.000000
C_f0,9,<70 bpm,63,0.003765,0.000000,0.000000
C_f0,9,SMC <70,15,0.000000,0.000000,0.000000
C_f0,9,>=70 bpm,508,0.002373,0.000000,0.000000
A_f0,9,ALL,571,0.628821,0.365223,0.446368
A_f0,9,SMC,27,0.389431,0.198111,0.255736
A_f0,9,<70 bpm,63,0.406337,0.073415,0.348949
A_f0,9,SMC <70,15,0.254409,0.100477,0.154264
A_f0,9,>=70 bpm,508,0.656413,0.401412,0.458450
B_f0,9,ALL,571,0.267407,0.084001,0.148470
B_f0,9,SMC,27,0.187232,0.049815,0.144753
B_f0,9,<70 bpm,63,0.174809,0.024990,0.137764
B_f0,9,SMC <70,15,0.152124,0.040769,0.144229
B_f0,9,>=70 bpm,508,0.278891,0.091319,0.149798
A_f0,14,ALL,571,0.102724,0.010664,0.057908
A_f0,14,SMC,27,0.075563,0.027521,0.093911
A_f0,14,<70 bpm,63,0.058895,0.019300,0.096753
A_f0,14,SMC <70,15,0.063511,0.030011,0.120839
A_f0,14,>=70 bpm,508,0.108159,0.009593,0.053091
A_f0,19,ALL,571,0.231816,0.083028,0.173015
A_f0,19,SMC,27,0.135154,0.035308,0.164820
A_f0,19,<70 bpm,63,0.133415,0.030028,0.140866
A_f0,19,SMC <70,15,0.099542,0.026891,0.180392
A_f0,19,>=70 bpm,508,0.244019,0.089601,0.177001
A_f0,24,ALL,571,0.124387,0.015632,0.089844
A_f0,24,SMC,27,0.078376,0.029802,0.070828
A_f0,24,<70 bpm,63,0.070887,0.040310,0.098348
A_f0,24,SMC <70,15,0.066081,0.019444,0.046505
A_f0,24,>=70 bpm,508,0.131021,0.012572,0.088790
A_f0,29,ALL,571,0.002688,0.000000,0.000000
A_f0,29,SMC,27,0.003197,0.000000,0.000000
A_f0,29,<70 bpm,63,0.000000,0.000000,0.000000
A_f0,29,SMC <70,15,0.000000,0.000000,0.000000
A_f0,29,>=70 bpm,508,0.003021,0.000000,0.000000
A_f0,34,ALL,571,0.080363,0.011065,0.039317
A_f0,34,SMC,27,0.045383,0.013792,0.021811
A_f0,34,<70 bpm,63,0.051037,0.013617,0.036766
A_f0,34,SMC <70,15,0.034733,0.012121,0.017455
A_f0,34,>=70 bpm,508,0.083999,0.010748,0.039633
A_f0,39,ALL,571,0.217312,0.058518,0.108052
A_f0,39,SMC,27,0.165854,0.052335,0.088805
A_f0,39,<70 bpm,63,0.138148,0.037563,0.085957
A_f0,39,SMC <70,15,0.120318,0.047180,0.086510
A_f0,39,>=70 bpm,508,0.227130,0.061117,0.110792
A_f0,44,ALL,571,0.076709,0.006185,0.033737
A_f0,44,SMC,27,0.064715,0.004910,0.039518
A_f0,44,<70 bpm,63,0.051727,0.008715,0.047993
A_f0,44,SMC <70,15,0.061186,0.003333,0.041460
A_f0,44,>=70 bpm,508,0.079807,0.005872,0.031969
