ckpt,min_gap_frac_of_ibi,n,F,CMLt,n_db,dbF,dbCMLt
E_conf S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.0,571,0.893411,0.810768,469,0.897563,0.822830
E_conf S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,571,0.897625,0.821696,469,0.905958,0.837498
E_conf S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.7,571,0.897383,0.821918,469,0.906521,0.838562
