ckpt,min_gap_frac_of_ibi,n,F,CMLt,n_db,dbF,dbCMLt
H_attn2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.0,571,0.907051,0.839738,469,0.898157,0.832107
H_attn2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.5,571,0.912750,0.854122,469,0.903157,0.840477
H_attn2 S0 fold0 shift_tolerant_weighted_bce-h512-augTrueTrueTrue-epepoch=019.ckpt,0.7,571,0.913056,0.856473,469,0.903175,0.840774
